account_value,date,daily_return
909853.9188824163,2022-09-30,-0.008836164773183941
923546.8350422368,2022-10-03,0.015049576504148732
940121.334850678,2022-10-04,0.017946572041127817
938828.4180212409,2022-10-05,-0.0013752659167579617
933095.6434170537,2022-10-06,-0.006106307067557659
917686.4012387395,2022-10-07,-0.016514107944909706
913565.213201386,2022-10-10,-0.004490845709155589
910156.7551055914,2022-10-11,-0.003730941203256233
908383.4277989203,2022-10-12,-0.0019483757020133385
922567.9465740058,2022-10-13,0.015615122800572756
909933.9316127326,2022-10-14,-0.01369440051346904
923913.8856759039,2022-10-17,0.015363702327699569
930498.7512802435,2022-10-18,0.007127142157326016
926458.2886154181,2022-10-19,-0.004342254795362432
921690.2788622137,2022-10-20,-0.0051464915493715235
935444.1189394842,2022-10-21,0.014922409829741357
942568.3477386786,2022-10-24,0.007615878548973276
952021.711550141,2022-10-25,0.010029366925106364
947466.337567597,2022-10-26,-0.004784947577641474
944247.0016159064,2022-10-27,-0.003397836761098616
958561.2066279913,2022-10-28,0.01515938624913682
954088.8107300422,2022-10-31,-0.0046657384703497895
951386.2708744819,2022-11-01,-0.0028325873075614183
935900.549835572,2022-11-02,-0.016277007050644055
929678.0277056281,2022-11-03,-0.006648700154131992
938317.151563874,2022-11-04,0.00929259765293855
944165.3230255133,2022-11-07,0.0062326170334756625
947508.590256745,2022-11-08,0.0035409765108915803
934606.57536612,2022-11-09,-0.013616778806331387
968445.0705306707,2022-11-10,0.03620613855760113
974756.3740368048,2022-11-11,0.006516945253978834
969126.889497193,2022-11-14,-0.005775273380668522
974740.917568543,2022-11-15,0.005792872050287112
969650.3716441351,2022-11-16,-0.005222460484275215
967614.1506682135,2022-11-17,-0.0020999537931069012
970632.0113332525,2022-11-18,0.0031188678492919397
968189.3437191779,2022-11-21,-0.002516574340794109
977220.4407942205,2022-11-22,0.009327821188726215
981522.4461537176,2022-11-23,0.004402287528902482
981365.2836943672,2022-11-25,-0.00016012110570295945
970306.9939583441,2022-11-28,-0.011268270764983601
969128.5814771734,2022-11-29,-0.0012144738608586003
990737.409263886,2022-11-30,0.022297173150930938
990211.7636501777,2022-12-01,-0.0005305599736047384
989386.5727478949,2022-12-02,-0.0008333479085735895
976525.3264413152,2022-12-05,-0.012999212502812885
966364.546743592,2022-12-06,-0.010405034485640452
965175.7058985601,2022-12-07,-0.0012302198471974002
970647.2327544256,2022-12-08,0.005668943822795036
965363.0116556708,2022-12-09,-0.005444018094771352
975516.4778978887,2022-12-12,0.010517770123390058
980943.8927810371,2022-12-13,0.0055636321949616985
976302.2456412056,2022-12-14,-0.004731817154875362
958596.8051786199,2022-12-15,-0.018135204073977396
950227.2464924932,2022-12-16,-0.00873105213882619
944263.5880887762,2022-12-19,-0.006276033891608801
945218.3380067755,2022-12-20,0.0010111052994552505
955731.1527934271,2022-12-21,0.011122102020175051
945507.3756801153,2022-12-22,-0.010697335839089828
949582.4314037176,2022-12-23,0.0043099142623515
946757.7420841375,2022-12-27,-0.0029746646801420695
937863.5905075689,2022-12-28,-0.009394326744019632
950626.2413937384,2022-12-29,0.013608216605639267
948714.987082337,2022-12-30,-0.002010521304986579
945658.684154267,2023-01-03,-0.0032215185484413267
951252.7609725043,2023-01-04,0.005915534761085972
942881.6789370123,2023-01-05,-0.008800060697783274
959561.5282720648,2023-01-06,0.017690288938328802
959135.4450625007,2023-01-09,-0.00044403948783922065
964386.261483216,2023-01-10,0.005474530680464218
973959.0768591925,2023-01-11,0.00992632906368196
976757.6192362981,2023-01-12,0.002873367519845349
979761.367520661,2023-01-13,0.0030752238070190785
978328.4007294929,2023-01-17,-0.0014625671501973248
965978.0608056036,2023-01-18,-0.01262392046952765
960352.0576950994,2023-01-19,-0.005824152057669174
974684.9497816169,2023-01-20,0.014924622664856058
984120.5223112188,2023-01-23,0.009680638376242445
983260.321147553,2023-01-24,-0.0008740811152332384
983557.6520546576,2023-01-25,0.0003023928665784048
992389.382218781,2023-01-26,0.008979372124932272
994260.3305624395,2023-01-27,0.001885296615603993
983966.8949118962,2023-01-30,-0.010352857631079848
995913.1032363591,2023-01-31,0.01214086407402215
1004704.141977509,2023-02-01,0.00882711424579341
1016916.0153294988,2023-02-02,0.01215469593661056
1007833.7492954413,2023-02-03,-0.008931185955523224
1002648.4816292424,2023-02-06,-0.0051449633134669215
1013705.6123000188,2023-02-07,0.011027923418194474
1004303.250440064,2023-02-08,-0.00927523902982208
996905.083909821,2023-02-09,-0.0073664667788352345
998882.3490039373,2023-02-10,0.001983403561712782
1008896.3803859258,2023-02-13,0.010025236097098045
1008494.9437358709,2023-02-14,-0.0003978968086904011
1011312.9784067998,2023-02-15,0.002794297272814994
999271.2643574225,2023-02-16,-0.011907010298975562
997107.1051682745,2023-02-17,-0.002165737439212445
979735.1710830083,2023-02-21,-0.01742233506834201
978559.2626315922,2023-02-22,-0.0012002309257880261
983092.9893491216,2023-02-23,0.0046330630046227395
973901.8783702397,2023-02-24,-0.009349177624557226
976806.7178728947,2023-02-27,0.0029826818976015357
973627.7456280522,2023-02-28,-0.0032544537078584845
970330.1305199285,2023-03-01,-0.0033869362525165148
977003.4254778752,2023-03-02,0.006877344882994629
990918.8688148808,2023-03-03,0.014242983160677625
991528.8148844915,2023-03-06,0.0006155358312434078
977914.3202271123,2023-03-07,-0.013730810898284651
979343.122428864,2023-03-08,0.0014610709468083627
963079.641000855,2023-03-09,-0.016606520284406567
950555.0023941655,2023-03-10,-0.013004779743525319
949329.5087540288,2023-03-13,-0.0012892401145120358
963533.0308675542,2023-03-14,0.014961635535976514
958049.3225372625,2023-03-15,-0.005691251005016773
973373.6422149969,2023-03-16,0.01599533480922477
962945.0669674993,2023-03-17,-0.01071384594282454
971442.0076325993,2023-03-20,0.008823910061514173
983193.5673170171,2023-03-21,0.012097026474134465
967683.1735258489,2023-03-22,-0.015775524074566172
970105.2245584722,2023-03-23,0.0025029380471692786
976022.2636513371,2023-03-24,0.006099378647876019
977722.5364904486,2023-03-27,0.0017420430890078276
975665.3146974187,2023-03-28,-0.0021040957083943157
988976.0515953373,2023-03-29,0.013642728400206305
994430.8428747868,2023-03-30,0.005515594913193533
1007682.0215736699,2023-03-31,0.013325389888929173
1011323.8351810002,2023-04-03,0.003614050394233459
1005983.6563214421,2023-04-04,-0.005280384654043457
1003471.096241486,2023-04-05,-0.0024976152089226655
1007207.55699466,2023-04-06,0.003723536001354555
1008195.097321198,2023-04-10,0.0009804735078484672
1008452.7818873908,2023-04-11,0.000255589981420723
