account_rewards,date
21223.190551757812,2022-09-30
25567.018432617188,2022-10-03
-1980.6670532225398,2022-10-04
-8754.74163818371,2022-10-05
-23428.821228027344,2022-10-06
-6234.120178222656,2022-10-07
-5131.4786376953125,2022-10-10
-2655.6969604492188,2022-10-11
21178.21173095703,2022-10-12
-18770.07208251953,2022-10-13
20683.097106933594,2022-10-14
9700.131103515625,2022-10-17
-5919.12939453125,2022-10-18
-6954.337463378906,2022-10-19
19985.33447265625,2022-10-20
10307.866577148438,2022-10-21
13616.138793945312,2022-10-24
-6526.795349121094,2022-10-25
-4591.246154785156,2022-10-26
20345.443115234375,2022-10-27
-6324.216857910156,2022-10-28
-3803.52587890625,2022-10-31
-21718.235656738165,2022-11-01
-8687.308166504023,2022-11-02
12018.174072265625,2022-11-03
8102.1663818359375,2022-11-04
4613.770324707031,2022-11-07
-17712.33984375,2022-11-08
46272.50067138672,2022-11-09
8597.350524902344,2022-11-10
-7629.575927734259,2022-11-11
7584.45806884754,2022-11-14
-6841.7861328125,2022-11-15
-2723.2694702148438,2022-11-16
4028.6285400390625,2022-11-17
-3240.9082641601562,2022-11-18
11950.671081542969,2022-11-21
5671.6416015625,2022-11-22
-202.57849121082108,2022-11-23
-14448.907409668085,2022-11-25
-1530.3922119140625,2022-11-28
28019.99786376953,2022-11-29
-675.1689453123836,2022-11-30
-1057.8017578126164,2022-12-01
-16474.41424560547,2022-12-02
-12963.56353759754,2022-12-05
-1507.7985229493352,2022-12-06
6931.813293457031,2022-12-07
-6661.801330566406,2022-12-08
12761.054565429688,2022-12-09
6796.668273925898,2022-12-12
-5783.984375,2022-12-13
-21988.38665771496,2022-12-14
-10352.914916992188,2022-12-15
-7348.0238037109375,2022-12-16
1175.7060546875,2022-12-19
12864.776977539062,2022-12-20
-12457.8125,2022-12-21
4951.493835449219,2022-12-22
-3414.0106811523438,2022-12-23
-10716.847106933594,2022-12-27
15329.088012695312,2022-12-28
-2283.4920043945312,2022-12-29
-3640.0866088867188,2022-12-30
6647.202331542969,2023-01-03
-9902.987670898438,2023-01-04
19670.135131835938,2023-01-05
-497.40875244128983,2023-01-06
6149.793579101446,2023-01-09
11168.998962402344,2023-01-10
3255.7853393554688,2023-01-11
3481.8612670898438,2023-01-12
-1650.4515991209773,2023-01-13
-14198.777893066523,2023-01-17
-6443.5810546875,2023-01-18
16369.162414550898,2023-01-19
10739.51031494129,2023-01-20
-972.2238159179688,2023-01-23
339.1138916016789,2023-01-24
9948.10552978504,2023-01-25
2102.6729736328125,2023-01-26
-11508.112854003906,2023-01-27
13316.928833007812,2023-01-30
9767.1474609375,2023-01-31
13520.480590820312,2023-02-01
-10015.886596679571,2023-02-02
-5697.641723632929,2023-02-03
12118.629089355469,2023-02-06
-10264.625732421875,2023-02-07
-8048.984313964844,2023-02-08
2147.9298706054688,2023-02-09
10829.815551757812,2023-02-10
-429.4886474609375,2023-02-13
3029.7094116210938,2023-02-14
-12887.440185546759,2023-02-15
-2306.085693359375,2023-02-16
-18471.90490722668,2023-02-17
-1243.556640625,2023-02-21
4793.198974609375,2023-02-22
-9676.842224121094,2023-02-23
3052.3031005859375,2023-02-24
-3323.56640625,2023-02-27
-3436.67388916004,2023-02-28
6941.128845214727,2023-03-01
14424.784301757812,2023-03-02
633.0404052734375,2023-03-03
-14017.81982421875,2023-03-06
1469.632568359375,2023-03-07
-16640.56475830078,2023-03-08
-12774.26318359375,2023-03-09
-1243.556640625,2023-03-10
14402.190612792969,2023-03-13
-5539.346862792969,2023-03-14
15442.265014648438,2023-03-15
-10471.792480468634,2023-03-16
8510.868835449102,2023-03-17
11733.7021484375,2023-03-20
-15433.088500976562,2023-03-21
2405.7760009765625,2023-03-22
5855.519470214844,2023-03-23
1679.441040039179,2023-03-24
-2019.8757934571477,2023-03-27
13049.975708007812,2023-03-28
5333.5009765625,2023-03-29
12913.857421875,2023-03-30
3540.5353393554688,2023-03-31
-5174.5804443359375,2023-04-03
-2428.439208984375,2023-04-04
3608.594482421875,2023-04-05
953.1755981445312,2023-04-06
249.64288330089767,2023-04-10
-3790.17822265625,2023-04-11
12301.116577148321,2023-04-12
-2292.3209228515625,2023-04-13
3359.0211181640625,2023-04-14
612.7408447266789,2023-04-17
-158.85101318371017,2023-04-18
-5129.184509277344,2023-04-19
726.2654418945312,2023-04-20
975.9083251953125,2023-04-21
-14865.743591308594,2023-04-24
-3903.7028198242188,2023-04-25
18270.09112548828,2023-04-26
7988.850341796875,2023-04-27
-953.1755981445312,2023-04-28
-10598.873291015625,2023-05-01
-6400.201171875,2023-05-02
-6559.052185058477,2023-05-03
17021.80718994129,2023-05-04
249.5733642578125,2023-05-05
-4107.8802490234375,2023-05-08
4357.5926513671875,2023-05-09
-1634.1146240234375,2023-05-10
-1225.5512084960938,2023-05-11
3222.7637939453125,2023-05-12
-6264.013366699219,2023-05-15
11302.475524902344,2023-05-16
9078.283264160156,2023-05-17
-1384.4717407226562,2023-05-18
385.90020751953125,2023-05-19
-10667.001953125,2023-05-22
-6808.764587402344,2023-05-23
8079.711730957031,2023-05-24
12187.5224609375,2023-05-25
363.16748046875,2023-05-26
-5288.0355224609375,2023-05-30
9010.154602050781,2023-05-31
13844.369812011719,2023-06-01
-1861.0247802734375,2023-06-02
2110.6676635742188,2023-06-05
-3359.021118163946,2023-06-06
5855.588989257696,2023-06-07
1747.5001831054688,2023-06-08
8851.303588867188,2023-06-09
6490.9930419921875,2023-06-12
1180.1552734375,2023-06-13
12301.116577148438,2023-06-14
-3421.5882568359375,2023-06-15
-5193.837219238165,2023-06-16
-5102.69775390625,2023-06-20
3576.476684570196,2023-06-21
-7517.441711425781,2023-06-22
-4032.034973144415,2023-06-23
10774.965026855352,2023-06-26
501.16278076171875,2023-06-27
3918.09326171875,2023-06-28
