,daily_return,date
2433,142.44544976785392,2009-09-04
2434,142.44544976785392,2009-09-08
2435,142.44544976785392,2009-09-09
2436,143.90111736263577,2009-09-10
2437,143.90111736263577,2009-09-11
2438,143.90111736263577,2009-09-14
2439,144.5024756088799,2009-09-15
2440,144.5024756088799,2009-09-16
2441,144.5024756088799,2009-09-17
2442,144.5024756088799,2009-09-18
2443,144.5024756088799,2009-09-21
2444,145.34409154887788,2009-09-22
2445,145.34409154887788,2009-09-23
2446,145.34409154887788,2009-09-24
2447,145.34409154887788,2009-09-25
2448,145.34409154887788,2009-09-28
2449,145.34409154887788,2009-09-29
2450,145.34409154887788,2009-09-30
2451,145.34409154887788,2009-10-01
2452,145.34409154887788,2009-10-02
2453,145.34409154887788,2009-10-05
2454,145.34409154887788,2009-10-06
2455,145.34409154887788,2009-10-07
2456,145.34409154887788,2009-10-08
2457,145.34409154887788,2009-10-09
2458,145.34409154887788,2009-10-12
2459,145.34409154887788,2009-10-13
2460,145.34409154887788,2009-10-14
2461,145.34409154887788,2009-10-15
2462,145.34409154887788,2009-10-16
2463,146.5453552436867,2009-10-19
2464,146.5453552436867,2009-10-20
2465,145.23031420228492,2009-10-21
2466,146.70637877920396,2009-10-22
2467,146.70637877920396,2009-10-23
2468,146.70637877920396,2009-10-26
2469,146.70637877920396,2009-10-27
2470,146.70637877920396,2009-10-28
2471,149.85377015513575,2009-10-29
2472,149.85377015513575,2009-10-30
2473,150.95353778301453,2009-11-02
2474,151.4309930524893,2009-11-03
2475,151.82173466200365,2009-11-04
2476,154.61446757738142,2009-11-05
2477,155.01965191148932,2009-11-06
2478,158.5503822630174,2009-11-09
2479,158.57932502460366,2009-11-10
2480,159.38967936471963,2009-11-11
2481,159.38967936471963,2009-11-12
2482,159.38967936471963,2009-11-13
2483,159.38967936471963,2009-11-16
2484,159.57598579635732,2009-11-17
2485,159.57598579635732,2009-11-18
2486,159.57598579635732,2009-11-19
2487,159.57598579635732,2009-11-20
2488,159.57598579635732,2009-11-23
2489,159.82076929570025,2009-11-24
2490,160.38238260276103,2009-11-25
2491,157.77606854390766,2009-11-27
2492,158.30889469549467,2009-11-30
2493,160.26719120648937,2009-12-01
2494,160.26719120648937,2009-12-02
2495,160.26719120648937,2009-12-03
2496,160.26719120648937,2009-12-04
2497,160.26719120648937,2009-12-07
2498,160.26719120648937,2009-12-08
2499,160.26719120648937,2009-12-09
2500,160.26719120648937,2009-12-10
2501,160.26719120648937,2009-12-11
2502,160.26719120648937,2009-12-14
2503,160.26719120648937,2009-12-15
2504,160.26719120648937,2009-12-16
2505,160.26719120648937,2009-12-17
2506,160.26719120648937,2009-12-18
2507,160.26719120648937,2009-12-21
2508,160.26719120648937,2009-12-22
2509,160.5827361753541,2009-12-23
2510,161.34299103295868,2009-12-24
2511,161.6872424567273,2009-12-28
2512,161.6872424567273,2009-12-29
2513,161.6872424567273,2009-12-30
2514,161.6872424567273,2009-12-31
2515,164.42938938050835,2010-01-04
2516,164.8647034184764,2010-01-05
2517,164.98077668299894,2010-01-06
2518,164.98077668299894,2010-01-07
2519,164.98077668299894,2010-01-08
2520,164.98077668299894,2010-01-11
2521,164.98077668299894,2010-01-12
2522,166.37426886387001,2010-01-13
2523,166.82421318760856,2010-01-14
2524,166.82421318760856,2010-01-15
2525,166.82421318760856,2010-01-19
2526,165.12781227712802,2010-01-20
2527,165.12781227712802,2010-01-21
2528,165.12781227712802,2010-01-22
2529,165.12781227712802,2010-01-25
2530,165.12781227712802,2010-01-26
2531,165.12781227712802,2010-01-27
2532,165.12781227712802,2010-01-28
2533,165.12781227712802,2010-01-29
2534,165.12781227712802,2010-02-01
2535,165.12781227712802,2010-02-02
2536,165.12781227712802,2010-02-03
2537,165.12781227712802,2010-02-04
2538,165.4691463781659,2010-02-05
2539,165.4691463781659,2010-02-08
2540,167.54749526715582,2010-02-09
2541,167.54749526715582,2010-02-10
2542,169.30102177169024,2010-02-11
2543,169.30102177169024,2010-02-12
2544,169.30102177169024,2010-02-16
2545,169.30102177169024,2010-02-17
2546,170.29905903720672,2010-02-18
2547,170.65215345229444,2010-02-19
2548,170.68288229941672,2010-02-22
2549,170.68288229941672,2010-02-23
2550,172.25272550908065,2010-02-24
2551,172.25272550908065,2010-02-25
2552,172.25272550908065,2010-02-26
2553,172.25272550908065,2010-03-01
2554,172.72993363329698,2010-03-02
2555,172.72993363329698,2010-03-03
2556,172.72993363329698,2010-03-04
2557,172.72993363329698,2010-03-05
2558,172.76020485324526,2010-03-08
2559,173.04738685970995,2010-03-09
2560,173.81852124726632,2010-03-10
2561,174.54412224052763,2010-03-11
2562,174.54412224052763,2010-03-12
2563,174.54412224052763,2010-03-15
2564,175.93465729836146,2010-03-16
2565,176.97745439835847,2010-03-17
2566,176.97745439835847,2010-03-18
2567,176.97745439835847,2010-03-19
2568,176.97745439835847,2010-03-22
2569,176.97745439835847,2010-03-23
2570,176.97745439835847,2010-03-24
2571,176.97745439835847,2010-03-25
2572,176.97745439835847,2010-03-26
2573,176.97745439835847,2010-03-29
2574,176.97745439835847,2010-03-30
2575,176.97745439835847,2010-03-31
2576,176.97745439835847,2010-04-01
2577,176.97745439835847,2010-04-05
2578,176.97745439835847,2010-04-06
2579,176.97745439835847,2010-04-07
2580,176.97745439835847,2010-04-08
2581,176.97745439835847,2010-04-09
2582,177.25874915635896,2010-04-12
2583,177.25874915635896,2010-04-13
2584,177.25874915635896,2010-04-14
2585,177.25874915635896,2010-04-15
2586,177.25874915635896,2010-04-16
2587,177.25874915635896,2010-04-19
2588,177.25874915635896,2010-04-20
2589,177.25874915635896,2010-04-21
2590,177.78761096503163,2010-04-22
2591,178.948216453448,2010-04-23
2592,178.948216453448,2010-04-26
2593,178.948216453448,2010-04-27
2594,178.948216453448,2010-04-28
2595,178.948216453448,2010-04-29
2596,178.948216453448,2010-04-30
2597,178.948216453448,2010-05-03
2598,178.948216453448,2010-05-04
2599,178.948216453448,2010-05-05
2600,178.948216453448,2010-05-06
2601,178.948216453448,2010-05-07
2602,178.948216453448,2010-05-10
2603,178.948216453448,2010-05-11
2604,181.451030886022,2010-05-12
2605,181.451030886022,2010-05-13
2606,181.451030886022,2010-05-14
2607,181.451030886022,2010-05-17
2608,181.451030886022,2010-05-18
2609,181.451030886022,2010-05-19
2610,181.451030886022,2010-05-20
2611,184.1000311349951,2010-05-21
2612,184.1000311349951,2010-05-24
2613,184.1000311349951,2010-05-25
2614,184.1000311349951,2010-05-26
2615,184.1000311349951,2010-05-27
2616,184.1000311349951,2010-05-28
2617,184.1000311349951,2010-06-01
2618,188.8938771891095,2010-06-02
2619,189.54437606324856,2010-06-03
2620,189.54437606324856,2010-06-04
2621,189.54437606324856,2010-06-07
2622,191.5747798426118,2010-06-08
2623,191.5747798426118,2010-06-09
2624,197.1748506622933,2010-06-10
2625,198.1321746716187,2010-06-11
2626,198.1321746716187,2010-06-14
2627,202.6372694294128,2010-06-15
2628,202.6372694294128,2010-06-16
2629,202.6372694294128,2010-06-17
2630,202.6372694294128,2010-06-18
2631,202.6372694294128,2010-06-21
2632,202.6372694294128,2010-06-22
2633,202.6372694294128,2010-06-23
2634,202.6372694294128,2010-06-24
2635,202.6372694294128,2010-06-25
2636,202.6372694294128,2010-06-28
2637,202.6372694294128,2010-06-29
2638,202.6372694294128,2010-06-30
2639,201.73427182532438,2010-07-01
2640,201.73427182532438,2010-07-02
2641,203.05679439688194,2010-07-06
2642,203.05679439688194,2010-07-07
2643,205.066179398337,2010-07-08
2644,206.59701752925662,2010-07-09
2645,206.73105249806997,2010-07-12
2646,209.85024704129964,2010-07-13
2647,209.85024704129964,2010-07-14
2648,209.85024704129964,2010-07-15
2649,209.85024704129964,2010-07-16
2650,211.08970393650088,2010-07-19
2651,213.4310432740517,2010-07-20
2652,213.4310432740517,2010-07-21
2653,218.19521732274535,2010-07-22
2654,218.19521732274535,2010-07-23
2655,218.19521732274535,2010-07-26
2656,218.19521732274535,2010-07-27
2657,218.19521732274535,2010-07-28
2658,218.19521732274535,2010-07-29
2659,218.19521732274535,2010-07-30
2660,218.19521732274535,2010-08-02
2661,218.19521732274535,2010-08-03
2662,218.19521732274535,2010-08-04
2663,218.19521732274535,2010-08-05
2664,218.19521732274535,2010-08-06
2665,219.36011421533675,2010-08-09
2666,219.36011421533675,2010-08-10
2667,219.36011421533675,2010-08-11
2668,219.36011421533675,2010-08-12
2669,219.36011421533675,2010-08-13
