#,Company,Symbol,Weight,Copy All Below Symbol and Paste In TradingView,","
395,FLEETCOR Technologies Inc.,FLT,0.043573,"FLT,",","
396,Healthpeak Properties Inc.,PEAK,0.043252,"PEAK,",","
397,Pool Corporation,POOL,0.043244,"POOL,",","
398,Brown & Brown Inc.,BRO,0.042532,"BRO,",","
399,Lamb Weston Holdings Inc.,LW,0.042256,"LW,",","
400,Akamai Technologies Inc.,AKAM,0.042238,"AKAM,",","
401,Interpublic Group of Companies Inc.,IPG,0.042064,"IPG,",","
402,Essex Property Trust Inc.,ESS,0.042036,"ESS,",","
403,Viatris Inc.,VTRS,0.041619,"VTRS,",","
404,Evergy Inc.,EVRG,0.041558,"EVRG,",","
405,Everest Re Group Ltd.,RE,0.041309,"RE,",","
406,Royal Caribbean Group,RCL,0.041289,"RCL,",","
407,PTC Inc.,PTC,0.041134,"PTC,",","
408,Trimble Inc.,TRMB,0.041027,"TRMB,",","
409,International Paper Company,IP,0.04044,"IP,",","
410,Alliant Energy Corp,LNT,0.04034,"LNT,",","
411,Match Group Inc.,MTCH,0.040183,"MTCH,",","
412,Jack Henry & Associates Inc.,JKHY,0.039875,"JKHY,",","
413,Kimco Realty Corporation,KIM,0.039658,"KIM,",","
414,Leidos Holdings Inc.,LDOS,0.039478,"LDOS,",","
415,Stanley Black & Decker Inc.,SWK,0.039267,"SWK,",","
416,Cboe Global Markets Inc,CBOE,0.039228,"CBOE,",","
417,Snap-on Incorporated,SNA,0.039009,"SNA,",","
418,Nordson Corporation,NDSN,0.038979,"NDSN,",","
419,Gen Digital Inc.,GEN,0.038975,"GEN,",","
420,Hormel Foods Corporation,HRL,0.038974,"HRL,",","
421,Tyler Technologies Inc.,TYL,0.038623,"TYL,",","
422,MGM Resorts International,MGM,0.037843,"MGM,",","
423,Domino's Pizza Inc.,DPZ,0.037642,"DPZ,",","
424,MarketAxess Holdings Inc.,MKTX,0.037471,"MKTX,",","
425,Bio-Techne Corporation,TECH,0.037349,"TECH,",","
426,Packaging Corporation of America,PKG,0.037331,"PKG,",","
427,UDR Inc.,UDR,0.03721,"UDR,",","
428,EQT Corporation,EQT,0.037208,"EQT,",","
429,Camden Property Trust,CPT,0.037078,"CPT,",","
430,Brown-Forman Corporation Class B,BF.B,0.036559,"BF.B,",","
431,Host Hotels & Resorts Inc.,HST,0.036555,"HST,",","
432,Celanese Corporation,CE,0.035836,"CE,",","
433,PulteGroup Inc.,PHM,0.035711,"PHM,",","
434,Charles River Laboratories International Inc.,CRL,0.035365,"CRL,",","
435,Western Digital Corporation,WDC,0.035306,"WDC,",","
436,C.H. Robinson Worldwide Inc.,CHRW,0.035,"CHRW,",","
437,Seagate Technology Holdings PLC,STX,0.034697,"STX,",","
438,Loews Corporation,L,0.034555,"L,",","
439,Masco Corporation,MAS,0.034429,"MAS,",","
440,Henry Schein Inc.,HSIC,0.033659,"HSIC,",","
441,Tapestry Inc.,TPR,0.033375,"TPR,",","
442,Teleflex Incorporated,TFX,0.033173,"TFX,",","
443,NiSource Inc,NI,0.033134,"NI,",","
444,Eastman Chemical Company,EMN,0.032848,"EMN,",","
445,Globe Life Inc.,GL,0.032525,"GL,",","
446,American Airlines Group Inc.,AAL,0.032296,"AAL,",","
447,Campbell Soup Company,CPB,0.032243,"CPB,",","
448,BorgWarner Inc.,BWA,0.031671,"BWA,",","
449,Live Nation Entertainment Inc.,LYV,0.031638,"LYV,",","
450,Qorvo Inc.,QRVO,0.03158,"QRVO,",","
451,Bath & Body Works Inc.,BBWI,0.031452,"BBWI,",","
